  27 Covid	19
  15 y	a
  13 le	Covid
  12 de	la
  11 c	est
  11 ARN	messager
  10 contre	le
   9 il	y
   8 qu	il
   8 ou	faux
   8 le	virus
   8 l	on
   8 Vrai	ou
   8 France	24
   7 n	y
   7 de	l
   7 dans	le
   6 vaccins	contre
   6 que	l
   6 n	est
   6 dans	les
   6 12	2021
   6 01	2022
   5 à	partir
   5 à	l
   5 à	ARN
   5 que	le
   5 peut	être
   5 on	peut
   5 on	a
   5 le	vaccin
   5 il	n
   5 hygiène	de
   5 effets	indésirables
   5 de	vie
   5 Les	vaccins
   5 01	01
   4 vous	êtes
   4 variant	Delta
   4 vaccins	à
   4 une	bonne
   4 risque	de
   4 personnes	vaccinées
   4 les	vaccins
   4 le	risque
   4 la	variole
   4 la	vaccination
   4 faux	Les
   4 est	pas
   4 du	vaccin
   4 des	cancers
   4 ce	sont
   4 bonne	hygiène
   3 vaccin	est
   3 vaccin	contre
   3 un	vaccin
   3 transmettre	le
   3 sont	des
   3 si	vous
   3 qui	peuvent
   3 qui	est
   3 qui	a
   3 que	les
   3 que	ce
   3 qu	on
   3 pour	les
   3 peut	se
   3 pas	être
   3 partir	de
   3 ont	été
   3 notre	code
   3 ne	peut
   3 ne	pas
   3 moment	de
   3 millions	de
   3 la	population
   3 l	ARN
   3 et	le
   3 et	c
   3 est	plus
   3 en	France
   3 du	virus
   3 de	santé
   3 de	ces
   3 dans	des
   3 d	ARN
   3 code	génétique
   3 ce	qui
   3 ce	que
   3 ce	n
   3 au	variant
   3 au	Royaume
   3 Royaume	Uni
   3 Le	vaccin
   3 Il	y
   3 31	12
   3 30	12
   2 être	que
   2 été	développés
   2 étant	vacciné
   2 épidémie	de
   2 ça	peut
   2 à	une
   2 à	un
   2 à	quel
   2 y	aura
   2 vous	avez
   2 virus	même
   2 vague	de
   2 vaccin	de
   2 vaccin	Moderna
   2 une	épidémie
   2 une	vague
   2 un	effet
   2 tout	ce
   2 tous	les
   2 système	immunitaire
   2 sur	les
   2 sont	plus
   2 sont	ils
   2 six	mois
   2 réseaux	sociaux
   2 rythme	de
   2 raison	de
   2 qui	se
   2 qui	ont
   2 qui	nous
   2 quelques	heures
   2 qu	ils
   2 qu	elle
   2 présente	le
   2 provoquer	des
   2 plus	tard
   2 plus	de
   2 peuvent	être
   2 peut	transmettre
   2 pas	ou
   2 pas	du
   2 pas	dans
   2 over	the
   2 ou	les
   2 on	l
   2 obligatoire	à
   2 nord	de
   2 nombre	de
