   8 Covid	19
   7 of	the
   4 It	is
   4 Health	Security
   4 Global	Health
   4 Dec	2021
   4 19	vaccines
   3 to	get
   3 such	as
   3 in	Africa
   3 immunisation	campaigns
   3 false	claims
   3 around	the
   3 Paul	Nuki
   3 Duchess	of
   3 By	Paul
   2 worker	receives
   2 vaccines	as
   2 vaccines	are
   2 vaccine	development
   2 up	to
   2 trust	in
   2 to	tell
   2 to	be
   2 the	virus
   2 the	vaccine
   2 the	first
   2 the	country
   2 the	continent
   2 the	Johnson
   2 tell	what
   2 social	media
   2 shot	of
   2 second	wave
   2 s	health
   2 receives	a
   2 per	cent
   2 over	the
   2 on	social
   2 news	UK
   2 is	that
   2 is	a
   2 in	vaccines
   2 health	worker
   2 health	minister
   2 have	started
   2 have	been
   2 has	also
   2 get	the
   2 fact	checking
   2 early	to
   2 could	exceed
   2 campaigns	in
   2 been	pro
   2 anti	vaccine
   2 and	the
   2 and	Johnson
   2 about	vaccines
   2 a	shot
   2 Vaccines	Tanzania
   2 UK	news
   2 Topics	Africa
   2 The	Telegraph
   2 Tanzania	Coronavirus
   2 South	African
   2 South	Africa
   2 Related	Topics
   2 Nuki	30
   2 Mr	Magufuli
   2 More	from
   2 Johnson	vaccine
   2 Johnson	and
   2 Jan	2022
   2 Fake	news
   2 E	attendance
   2 Contact	us
   2 African	health
   2 African	Alliance
   2 Africa	Vaccines
   2 Africa	The
   2 Africa	It
   2 A	South
   2 A	E
   2 8	00am
   2 31	Dec
   2 30	Dec
   2 2021	8
   1 yourself	and
   1 your	support
   1 your	family
   1 your	adblocker
   1 your	ad
   1 you	to
   1 you	re
   1 you	for
   1 you	can
   1 yet	begun
   1 years	have
   1 year	and
   1 year	after
   1 would	have
   1 would	be
   1 world	has
   1 worked	around
   1 work	of
   1 within	weeks
   1 with	nearly
   1 with	an
   1 with	COVID
   1 with	1200
   1 winning	journalism
   1 will	hold
   1 will	have
   1 will	be
   1 who	was
   1 who	have
   1 white	man
   1 which	is
   1 which	have
   1 what	will
   1 what	they
   1 what	impact
   1 were	unsafe
   1 were	then
   1 weeks	doctors
   1 website	so
   1 wearing	and
   1 we	will
   1 we	need
   1 we	are
   1 wave	study
   1 wave	of
   1 wave	is
   1 wave	Fears
   1 was	reported
   1 was	near
   1 was	hospitalised
   1 warned	that
   1 warned	on
   1 warned	Africans
   1 warn	By
   1 virus	since
   1 virus	Madagascan
   1 very	strongly
   1 very	important
   1 ve	noticed
   1 vax	movement
   1 variants	have
   1 vaccines	which
   1 vaccines	were
   1 vaccines	we
   1 vaccines	than
   1 vaccines	like
   1 vaccines	has
   1 vaccines	for
   1 vaccines	could
   1 vaccines	and
   1 vaccines	It
   1 vaccine	that
   1 vaccine	sentiment
   1 vaccine	messages
   1 vaccine	is
   1 vaccine	information
   1 vaccine	campaigns
   1 vaccine	Credit
   1 vaccine	Covid
   1 vaccine	BUTTON
   1 vaccination	the
   1 vaccination	strategies
   1 vaccination	campaigns
   1 vaccination	but
   1 vaccinated	against
   1 vaccinated	It
   1 vaccinated	Health
   1 use	of
   1 us	to
   1 us	said
   1 us	on
   1 us	by
   1 us	Telegraph
   1 us	Global
   1 us	About
   1 urge	you
   1 upcoming	immunisation
   1 up	Covid
   1 untested	herbal
   1 unsafe	and
   1 unproven	remedies
   1 understand	the
   1 two	children
   1 turn	off
   1 treatment	Frightening
   1 traditionally	been
   1 traction	By
   1 tracker	Coronavirus
   1 top	judge
   1 top	Follow
   1 too	early
   1 told	the
   1 told	reporters
   1 to	turn
   1 to	top
   1 to	take
   1 to	sensitise
   1 to	reject
   1 to	record
   1 to	misinformation
   1 to	land
   1 to	implode
   1 to	help
   1 to	ensure
   1 to	ease
   1 to	disprove
   1 to	derail
   1 to	content
   1 to	account
   1 to	access
   1 to	Christmas
   1 threatens	to
   1 this	month
   1 this	infodemic
   1 they	were
   1 they	say
   1 they	added
   1 these	messages
   1 these	false
   1 there	is
   1 theories	about
   1 then	the
   1 them	to
   1 them	said
   1 their	vaccination
   1 their	upcoming
   1 their	children
   1 the	world
   1 the	work
   1 the	white
   1 the	vaccines
   1 the	use
   1 the	start
   1 the	slow
   1 the	second
   1 the	safety
   1 the	record
   1 the	public
   1 the	preliminary
   1 the	peak
   1 the	pandemic
   1 the	numbers
   1 the	number
   1 the	jab
   1 the	infodemic
   1 the	importance
   1 the	impact
   1 the	immunisation
   1 the	health
   1 the	future
   1 the	facts
   1 the	disease
   1 the	devil
   1 the	clock
   1 the	World
   1 the	WHO
   1 the	Telegraph
   1 the	African
   1 that	you
   1 that	was
   1 that	vaccines
   1 that	two
   1 that	statements
   1 that	said
   1 that	people
   1 that	patients
   1 that	needs
   1 that	hurts
   1 that	have
   1 that	has
   1 that	anti
   1 that	Tanzania
   1 that	Covid
   1 that	Africa
   1 than	any
   1 than	1
   1 tests	are
   1 teams	on
   1 taking	tests
   1 take	off
   1 survey	by
   1 surprise	he
   1 support	us
   1 support	Need
   1 supplied	South
   1 suggests	By
   1 suggested	UK
   1 sub	Saharan
   1 study	suggests
   1 study	has
   1 struggle	to
   1 strongly	addressed
   1 stressed	the
   1 strategies	the
   1 stories	Related
   1 stockpile	doses
   1 steam	inhalers
   1 staying	away
   1 statements	such
   1 started	vaccination
   1 started	to
   1 start	of
   1 spreads	dangerous
   1 spent	33
   1 sparked	concern
   1 southern	Africa
   1 something	that
   1 some	of
   1 social	distancing
   1 soar	to
   1 so	that
   1 so	people
   1 so	much
   1 slow	roll
   1 skyrocketed	particularly
   1 since	the
   1 since	acknowledged
   1 shows	Boris
   1 showed	that
   1 shot	to
   1 sentiment	initiatives
   1 sensitise	our
   1 seen	at
   1 second	Covid
   1 scientific	consensus
   1 say	puts
   1 say	matters
   1 said	last
   1 said	he
   1 said	Richard
   1 said	Protect
   1 said	Malawi
   1 said	African
   1 safety	of
   1 safe	for
   1 safe	and
   1 s	top
   1 s	president
   1 s	omicron
   1 s	director
   1 s	decrease
   1 s	a
   1 run	up
   1 roll	out
   1 risk	and
   1 rising	and
   1 rise	in
   1 richer	nations
   1 rhetoric	around
   1 respondents	agreeing
   1 reports	about
   1 reporters	earlier
   1 reported	in
   1 report	debunking
   1 remedy	for
   1 remedies	such
   1 rely	on
   1 reject	mask
   1 recording	of
   1 record	pace
   1 record	levels
   1 record	2
   1 recently	that
   1 receiving	ECMO
   1 real	danger
   1 re	adblocking
   1 rapid	rise
   1 quality	content
   1 puts	lives
   1 pushed	by
   1 public	trust
   1 public	officials
   1 propagated	by
   1 propaganda	especially
   1 promoted	an
   1 prominent	politicians
